rating,rating_raw,date,content
3,★★★,2016-02-19,"★★★ Watched by Dan Campos 19 Feb 2016
4
Divertida la historia, pero el manejo de guión además de predecible, no se acerca a grandes obras como Big Hero 6 o Frozen.
Me quedo esperando la versión con audio original, ya que si bien el doblaje es consistentemente bueno, nos faltó la voz de Idris Elba.
Primero le niegan la nominación al Óscar y ahora esto. ¿Cuántos más?
3 likes"
4,★★★★,2016-02-20,"★★★★
Watched by Rev. Luis FlowErs 20 Feb 2016
In a world where the animals evolved and live in armonie, a little police officer rabbit has to solve a missing animal case in 48 hrs.
It's all about what is the preferred nomenclature... And... Animal stereotypes, and be racially pretty cool.
Great movie, very film noir-ish. Lotta ins lotta outs, lotta what-have-yous. Very funny.
4 likes"
4,★★★★,2016-02-21,"★★★★ Watched by Cristina Resa 21 Feb 2016
Un buddy cop con protagonisti i pupazzetti delle Sylvanian Families. Ed è una bomba, incredibilmente divertente e brillante (anche nell'uso della metafora educativa). Vorrei una serie procedurale con Judy Hopps e Nick Wilde tipo adesso.
6 likes"
4,★★★★,2016-02-22,"★★★★ Watched by stirnmeister 22 Feb 2016
mr big was hilarious!! :) kids liked it, as did i!
2 likes"
3.5,★★★½,2016-02-22,"★★★½
Watched by hoppippollo 22 Feb 2016
LOS PEREZOSOS.
1 like"
4,★★★★,2016-02-22,"★★★★
Rewatched by Nathan Hermans 22 Feb 2016
1
When Disney first introduced Zootopia I had a lot of doubts about this film. The concept of the human like animals has been done multiple times already, so how can this be any different and bring originality to the table? To be honest, Zootopia blew me away in ways I didn’t expect. First of all, this film is beautiful. The animation is almost perfect. Especially the city itself is spectacular, from its different environments to its colorful inhabitants. There is… more
3 likes"
4.5,★★★★½,2016-02-22,"★★★★½ Watched by Flo 22 Feb 2016
I was surprised of how much I liked this buddy cop comedy with anthropomorphic animals. The attention to detail is amazing, the dialogue is clever, the story is interesting. The moral of the story is a little bit too obvious, but hey! It's a kids movie. And kids are dumb. :)
2 likes"
5,★★★★★,2016-02-22,"★★★★★
Watched by kate3001 22 Feb 2016
Ein wunderbarer Film für Groß und Klein! Der macht richtig Spaß!
1 like"
0.5,½,2016-02-22,"½ Watched by idris 22 Feb 2016
this pro-cop propaganda
2 likes"
4,★★★★,2016-02-22,"★★★★ Watched by Elmes Tizo 22 Feb 2016
Great characters, lots of funny moments, the conspiracy case was actually pretty detailed and interesting and it takes the concept of anthropomorphic animals to its full potential creating one of the most unique worlds Disney has ever put on film, while at the same time adding a pretty well written ""don´t judge a book by its cover"" message along with a pretty clever hidden criticism of reverse racism and discrimination.
Once again, Disney Animation Studios is showing amazing quality.
2 likes"
3.5,★★★½,2016-02-21,"★★★½ Watched by Via 21 Feb 2016
interesting story, cute characters and a good script.
3 likes"
3.5,★★★½,2016-02-20,"★★★½
Watched by Tikahani 20 Feb 2016
Once again (and no wonder), Disney made it in making an animation movie full of moral values...
1 like"
3.5,★★★½,2016-02-23T03:38:39.805Z,"★★★½ Added by SilentBlue 23 Feb 2016
This review may contain spoilers. I can handle the truth.

1 like"
4,★★★★,2016-02-19,"★★★★
Watched by dbarreracastro 19 Feb 2016
""De los creadores de Frozen y Big Hero 6"" no era algo que me emocionara mucho. La primera, a pesar de su masivo éxito, siempre me pareció un poco falsa. Y Big Hero 6 estaba tan repleta de lugares comunes, que a pesar de su encantador héroe, se sintió inevitablemente decepcionante.
Pero Zootopia ha sido una gran sorpresa. Aunque de lejos parece ser una idea cansada (¡otra película animada más de animales!), hay un gran, GRAN corazón detrás de esto.… more
2 likes"
3.5,★★★½,2016-02-22,"★★★½ Watched by Tim Bennett 22 Feb 2016
Disney Animation’s latest effort is probably the most frustrating film they’ve produced since dropping 2D animation. On one hand the film is portrayed and marketed as a fairly typical animated film for kids: anthropomorphized animals, lots of puns, bright colors and pointless musical numbers. On the other hand the film starts drawing parallels to real-world issues in an obvious manner, couple this with a shift towards darker and more unsettling imagery in the latter half and it becomes clear that… more
2 likes"
4,★★★★,2016-02-21,"★★★★
Watched by Mark James Atienza 21 Feb 2016
Relishing a creative sense of imagination visually, ""Zootopia"" creates an appealing animated world (through the Animal Kingdom) that successfully emphasized its message about diversity. Even with its plotting and characterizations it triumphed, featuring mortal enemies as allies and turning seemingly-innocent ones as villains. A bold statement indeed, and it knows how to tinker with it: wrapping it up on a crime/mystery thriller vibe and well-crafted sense of humor. The only problem was its emotional baggage that gets wearily imposed but still, this animated feature rocks.
2 likes"
