rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
4.0,2021-08-21,"This type of world building with character driven story is something you'd expect from Pixar at their brilliant best, but Zootropolis is Disney Animation's doing. The story itself is progressive in its outlook, a female bunny achieves her dream of becoming the first rabbit to become a police officer, but faces prejudice in every aspect of the job. Zootropolis has an excellent message at its heart, but it's also cleverly written and amusing, perfect to keep the kids (and adults) occupied during this summer holiday afternoon.",86,en,type world building character driven story something expect pixar brilliant best zootropolis disney animation story progressive outlook female bunny achieves dream becoming first rabbit become police officer face prejudice every aspect job zootropolis excellent message heart also cleverly written amusing perfect keep kid adult occupied summer holiday afternoon,2021-08,48
2.0,2021-08-01,"Has a brilliant tomato score and critics but wow, I found it really a chore to get through. It was not for me. Character designs not for me. Just seemed a bit boring actually.",34,en,brilliant tomato score critic wow found really chore get character design seemed bit boring actually,2021-08,15
4.5,2021-07-26,"Summary: Judy Hopps dreams of leaving Bunnyburrow and becoming Zootopia's first rabbit police officer. Her first day on the job, she gets stuck with parking duty and gets duped by a sly fox. She hopes that one day she'll be able to fight real crime. Takeaways: In a world where prey and predators live harmoniously (well, mostly), the animal society still has stereotypes about the jobs each animal is meant for. A precious story about following your dreams with a spunky main character and many laugh-out-loud moments.",87,en,summary judy hopps dream leaving bunnyburrow becoming zootopia first rabbit police officer first day job get stuck parking duty get duped sly fox hope one day able fight real crime takeaway world prey predator live harmoniously well mostly animal society still stereotype job animal meant precious story following dream spunky main character many laugh loud moment,2021-07,56
3.5,2021-07-19,Defiantly for my furry friends out there.,7,en,defiantly furry friend,2021-07,3
4.0,2021-07-14,"bro. I remember when i first watched it in 2016, i still like it.",14,en,bro remember first watched still like,2021-07,6
5.0,2021-07-06,Excellent will watch anyday,4,en,excellent watch anyday,2021-07,3
4.0,2021-06-19,"Came into this with low expectations but was pleasantly surprised. Had a lot of depth to its plot and never rushed it's impressive, albeit predictable ending",26,en,came low expectation pleasantly surprised lot depth plot never rushed impressive albeit predictable ending,2021-06,14
5.0,2021-06-09,Definitely one of my favorite films ever...Zootopia has an important message for its young viewers and animation that will leave you speechless. Outstanding characters and a great story. 10/10,29,en,definitely one favorite film ever zootopia important message young viewer animation leave speechless outstanding character great story,2021-06,17
5.0,2021-05-28,By far my favourite Disney movie,6,en,far favourite disney movie,2021-05,4
5.0,2021-05-26,"Thanks to Disney+ and an unlimited number of Disney movies at my fingertips, I was finally able to enjoy Zootopia last night. It was surprisingly a very adult-centric movie and for a while I even forgot I was watching a Disney cartoon. The animals portrayed had very emotional, real world human problems to overcome and guaranteed anyone who watched this movie can relate to one of them. Personally...I relate to the sloths. But on a more serious note, I am very pleased to have found out that a sequel will be released later in 2021 because these characters are just too good to be one and done then forgotten about.",110,en,thanks disney unlimited number disney movie fingertip finally able enjoy zootopia last night surprisingly adult centric movie even forgot watching disney cartoon animal portrayed emotional real world human problem overcome guaranteed anyone watched movie relate one personally relate sloth serious note pleased found sequel released later character good one done forgotten,2021-05,51
4.5,2021-05-20,"Zootopia is a utopia of imagination, every scene filled a flurry of cleverness and cuteness.",15,en,zootopia utopia imagination every scene filled flurry cleverness cuteness,2021-05,9
